SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5025 SW Philomath,Corvallis,OR,97333-1043,224900,2,1.0,Corvallis,780,11326,1940,5,288,,Active,,,http://www.redfin.com/OR/Corvallis/5025-SW-Philomath-Blvd-97333/home/25922895,WVMLS,731730,N,Y,44.5522899,-123.3086291
MLS Listing,,Single Family Residential,4030 SW Fairhaven,Corvallis,OR,97333-1430,399000,4,3.0,Fairhaven Heights,2488,10890,1957,12,160,,Active,,,http://www.redfin.com/OR/Corvallis/4030-SW-Fairhaven-Dr-97333/home/25918882,WVMLS,731264,N,Y,44.542146,-123.2949452
MLS Listing,,Single Family Residential,1041 SW 10th St,Corvallis,OR,97333,300000,1,1.0,Benton County,720,3049,1948,27,417,,Active,,,http://www.redfin.com/OR/Corvallis/1041-SW-10th-St-97333/home/25904202,RMLS,18323834,N,Y,44.5574843,-123.2692988
MLS Listing,,Single Family Residential,1925 SW Brooklane,Corvallis,OR,97333,190000,5,1.0,Corvallis,1596,89734,1950,625,119,,Active,,,http://www.redfin.com/OR/Corvallis/1925-SW-Brooklane-Dr-97333/home/25904174,WVMLS,707972,N,Y,44.5451438,-123.2823203
For-Sale-by-Owner Listing,,Single Family Residential,4859 SW Aster St,Corvallis,OR,97333,339000,3,2.0,Corvallis,1762,5663,1995,289,192,,Active,,,http://www.redfin.com/OR/Corvallis/4859-SW-Aster-St-97333/home/25916018,Fizber.com,4922149,N,Y,44.5463903,-123.3054357
PAST SALE,May-4-2016,Single Family Residential,5269 SW Meridian,Corvallis,OR,97330,247175,3,3.0,Corvallis,1333,4356,2005,711,185,,Sold,,,http://www.redfin.com/OR/Corvallis/5269-SW-Meridian-Pl-97333/home/25925174,WVMLS,705154,N,Y,44.5486089,-123.3113874
PAST SALE,August-10-2016,Single Family Residential,3060 SW Morris,Corvallis,OR,97333,299000,3,2.0,Corvallis,1290,19602,1948,613,232,,Sold,,,http://www.redfin.com/OR/Corvallis/3060-SW-Morris-Ave-97333/home/25899581,WVMLS,713474,N,Y,44.5555214,-123.2848847
PAST SALE,February-3-2017,Single Family Residential,2771 SW Dearmond Dr,Corvallis,OR,97333,300000,2,2.0,Benton County,1944,13068,1974,436,154,,Sold,,,http://www.redfin.com/OR/Corvallis/2771-SW-DeArmond-Dr-97333/home/25904088,RMLS,16480870,N,Y,44.539642,-123.294316
PAST SALE,June-24-2016,Single Family Residential,3605 SW Chintimini,Corvallis,OR,97333,390000,3,2.0,Corvallis,1915,9583,1978,660,204,,Sold,,,http://www.redfin.com/OR/Corvallis/3605-SW-Chintimini-Ave-97333/home/25897764,WVMLS,701490,N,Y,44.5454403,-123.2908612
PAST SALE,September-14-2015,Single Family Residential,4349 SW Philomath,Corvallis,OR,97333,234000,3,2.0,Corvallis,1568,14375,1957,944,149,,Sold,,,http://www.redfin.com/OR/Corvallis/4349-SW-Philomath-Blvd-97333/home/25924812,WVMLS,687962,N,Y,44.5546881,-123.3008359
PAST SALE,,Single Family Residential,1661 S West Country Club Pl,Corvallis,OR,97333,290000,3,2.0,,1464,6534,1989,,198,,,,,http://www.redfin.com/OR/Corvallis/1661-S-West-Country-Club-Pl-97333/home/25896462,,,N,Y,44.5491352,-123.2917871
PAST SALE,June-3-2015,Single Family Residential,1632 SW Knollbrook,Corvallis,OR,97330,286100,3,2.0,Western View 2nd,1577,8276,1976,1047,181,,Sold,,,http://www.redfin.com/OR/Corvallis/1632-SW-Knollbrook-Pl-97333/home/25906598,WVMLS,688988,N,Y,44.5497043,-123.2868539
PAST SALE,May-3-2016,Single Family Residential,1955 SW Roth,Corvallis,OR,97333,280000,3,2.0,Corvallis,1600,10019,1978,712,175,,Sold,,,http://www.redfin.com/OR/Corvallis/1955-SW-Roth-St-97333/home/25920725,WVMLS,701898,N,Y,44.5462131,-123.2834615
PAST SALE,,Single Family Residential,1695 SW Knollbrook Pl,Corvallis,OR,97333,209700,3,2.0,,1680,9148,1976,,125,,,,,http://www.redfin.com/OR/Corvallis/1695-SW-Knollbrook-Pl-97333/home/25925294,,,N,Y,44.5487732,-123.286122
PAST SALE,October-27-2016,Single Family Residential,3040 SW Knollbrook,Corvallis,OR,97333,289900,4,2.0,Western View 1st,1801,8276,1976,535,161,,Sold,,,http://www.redfin.com/OR/Corvallis/3040-SW-Knollbrook-Ave-97333/home/25927297,WVMLS,707804,N,Y,44.5480398,-123.2828798
PAST SALE,December-22-2016,Single Family Residential,321 SW 9th,Corvallis,OR,97333,342500,3,1.0,Avery & Beach Addition,1175,5227,1918,479,291,,Sold,,,http://www.redfin.com/OR/Corvallis/321-SW-9th-St-97333/home/25929441,WVMLS,705664,N,Y,44.5635124,-123.2681638
PAST SALE,March-2-2018,Single Family Residential,4999 SW Hollyhock,Corvallis,OR,97333-1773,393500,2,2.0,Stoneybrook No 2,1627,6534,2006,44,242,,Sold,,,http://www.redfin.com/OR/Corvallis/4999-SW-Hollyhock-Cir-97333/home/25928976,WVMLS,727959,N,Y,44.5418173,-123.3039856
PAST SALE,May-21-2015,Single Family Residential,2895 SW DeArmond,Corvallis,OR,97333,392600,3,3.0,Fairhaven Heights,2440,16117,1987,1060,161,,Sold,,,http://www.redfin.com/OR/Corvallis/2895-SW-DeArmond-Dr-97333/home/25904592,WVMLS,689420,N,Y,44.538205,-123.294317
PAST SALE,May-18-2016,Single Family Residential,1529 SW Birdie,Corvallis,OR,97333,325000,4,3.0,Country Club Meadows,2137,5227,1994,697,152,,Sold,,,http://www.redfin.com/OR/Corvallis/1529-SW-Birdie-Dr-97333/home/25914467,WVMLS,705067,N,Y,44.5509445,-123.2907673
PAST SALE,July-31-2015,Single Family Residential,3850 SW Western,Corvallis,OR,97333,288000,3,2.0,Corvallis,1900,18731,1925,989,152,,Sold,,,http://www.redfin.com/OR/Corvallis/3850-SW-Western-Blvd-97333/home/25897558,WVMLS,683220,N,Y,44.5564274,-123.2930763
PAST SALE,March-10-2017,Single Family Residential,5280 SW West Hls,Corvallis,OR,97333-2636,234500,2,2.0,Corvallis,1280,10019,1948,401,183,,Sold,,,http://www.redfin.com/OR/Corvallis/5280-W-Hills-Rd-97333/home/113002599,WVMLS,714178,N,Y,44.5560819,-123.3116691
PAST SALE,,Single Family Residential,1935 SW Whiteside Dr,Corvallis,OR,97333,185000,4,2.0,,2318,10019,1975,,80,,,,,http://www.redfin.com/OR/Corvallis/1935-SW-Whiteside-Dr-97333/home/25922166,,,N,Y,44.5459768,-123.2906399
PAST SALE,December-7-2016,Single Family Residential,3985 SW Fairhaven,Corvallis,OR,97333,338000,2,2.0,Country Club Condos,2015,2178,1978,494,168,,Sold,,,http://www.redfin.com/OR/Corvallis/3985-SW-Fairhaven-Ct-97333/unit-15/home/25906511,WVMLS,703611,N,Y,44.542788,-123.296109
PAST SALE,,Single Family Residential,2015 SW 53rd St,Corvallis,OR,97333,240000,3,2.5,,2387,23087,1950,,101,,,,,http://www.redfin.com/OR/Corvallis/2015-SW-53rd-St-97333/home/25904343,,,N,Y,44.5452806,-123.3112731
PAST SALE,July-29-2016,Single Family Residential,804 SW 5th,Corvallis,OR,97333-4414,310200,4,2.0,Corvallis,1508,5227,1916,625,206,,Sold,,,http://www.redfin.com/OR/Corvallis/804-SW-5th-St-97333/home/25904733,WVMLS,704840,N,Y,44.5579498,-123.2668945
