SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2765 NW Monterey,Corvallis,OR,97330,387500,3,2.0,Timberhill,1484,8712,1976,11,261,,Active,,,http://www.redfin.com/OR/Corvallis/2765-NW-Monterey-Dr-97330/home/25918862,WVMLS,731360,N,Y,44.5940441,-123.2897934
PAST SALE,November-1-2017,Single Family Residential,3433 NW Walnut,Corvallis,OR,97330-3532,229000,2,2.0,Townhouse 1,1116,5663,1971,165,205,,Sold,,,http://www.redfin.com/OR/Corvallis/3433-NW-Walnut-Blvd-97330/home/25930733,WVMLS,724148,N,Y,44.593747,-123.289022
PAST SALE,April-12-2018,Single Family Residential,2611 NW Ginseng,Corvallis,OR,97330,331000,3,2.0,Tamarack Village,1484,8712,1981,3,223,,Sold,,,http://www.redfin.com/OR/Corvallis/2611-NW-Ginseng-Pl-97330/home/25920557,WVMLS,729665,N,Y,44.5935401,-123.2974866
PAST SALE,,Single Family Residential,2979 NW Morning Glory Dr,Corvallis,OR,97330,335000,3,2.5,,1652,3049,2003,,203,,,,,http://www.redfin.com/OR/Corvallis/2979-NW-Morning-Glory-Dr-97330/home/25921499,,,N,Y,44.59847,-123.28418
PAST SALE,May-20-2015,Single Family Residential,2286 NW Kleinschmidt,Corvallis,OR,97330,354000,3,2.0,Walnut Park,2038,9583,1991,1061,174,,Sold,,,http://www.redfin.com/OR/Corvallis/2286-NW-Kleinschmidt-Pl-97330/home/25931558,WVMLS,685678,N,Y,44.590086,-123.3069571
PAST SALE,August-31-2016,Single Family Residential,2918 NW 29th,Corvallis,OR,97330,260000,3,2.0,Corvallis,1490,239644,1976,592,174,,Sold,,,http://www.redfin.com/OR/Corvallis/2918-NW-29th-St-97330/home/25932176,WVMLS,709494,N,Y,44.595161,-123.288619
PAST SALE,May-16-2016,Single Family Residential,4129 NW Peppertree Pl,Corvallis,OR,97330,368000,4,2.0,Benton County,1956,9583,1977,699,188,,Sold,,,http://www.redfin.com/OR/Corvallis/4129-NW-Peppertree-Pl-97330/home/25926996,RMLS,16670394,N,Y,44.5981097,-123.2972403
PAST SALE,July-12-2017,Single Family Residential,2720 NW Glenwood,Corvallis,OR,97330-3136,395000,4,2.0,Skyline West #3,2157,18295,1976,277,183,,Sold,,,http://www.redfin.com/OR/Corvallis/2720-NW-Glenwood-Dr-97330/home/25925372,WVMLS,718707,N,Y,44.5910443,-123.3224398
PAST SALE,,Vacant Land,3227 NW Silktassel Dr,Corvallis,OR,97330,190000,,,,,12632,,,,,,,,http://www.redfin.com/OR/Corvallis/3227-NW-Silktassel-Dr-97330/home/25908221,,,N,Y,44.599575,-123.289306
PAST SALE,January-15-2016,Single Family Residential,3329 NW Walnut,Corvallis,OR,97330,241500,3,2.0,Townhouse 1,1287,5663,1975,821,188,,Sold,,,http://www.redfin.com/OR/Corvallis/3329-NW-Walnut-Blvd-97330/home/25928367,WVMLS,698373,N,Y,44.593592,-123.288366
PAST SALE,,Single Family Residential,2624 NW Chinaberry Pl,Corvallis,OR,97330,215000,3,1.5,,1348,2178,1978,,159,,,,,http://www.redfin.com/OR/Corvallis/2624-NW-Chinaberry-Pl-97330/home/25933110,,,N,Y,44.5938,-123.295354
PAST SALE,September-21-2015,Single Family Residential,3196 NW Morning Glory,Corvallis,OR,97330,237500,3,3.0,The Meadows at Timberhill,1567,2614,2002,937,152,,Sold,,,http://www.redfin.com/OR/Corvallis/3196-NW-Morning-Glory-Dr-97330/home/25921635,WVMLS,693757,N,Y,44.599393,-123.285388
PAST SALE,May-22-2015,Single Family Residential,4438 NW Queens Ave,Corvallis,OR,97330,375000,4,3.0,Benton County,2535,15681,1976,1059,148,,Sold,,,http://www.redfin.com/OR/Corvallis/4438-NW-Queens-Ave-97330/home/25917784,RMLS,15616733,N,Y,44.5951025,-123.3007331
PAST SALE,January-31-2017,Single Family Residential,2850 NW Duchess,Corvallis,OR,97330,377000,4,3.0,EC Wells,2222,13068,1995,439,170,,Sold,,,http://www.redfin.com/OR/Corvallis/2850-NW-Duchess-Pl-97330/home/25929093,WVMLS,705798,N,Y,44.594377,-123.3019569
PAST SALE,,Single Family Residential,3137 NW Greenbriar Pl,Corvallis,OR,97330,167500,4,2.0,,1851,7841,1976,,90,,,,,http://www.redfin.com/OR/Corvallis/3137-NW-Greenbriar-Pl-97330/home/25928733,,,N,Y,44.5974604,-123.289857
PAST SALE,March-28-2018,Single Family Residential,2875 NW Monterey,Corvallis,OR,97330,390000,3,2.0,Timberhill,1445,7841,1972,18,270,,Sold,,,http://www.redfin.com/OR/Corvallis/2875-NW-Monterey-Dr-97330/home/25914470,WVMLS,729629,N,Y,44.5953472,-123.2903814
PAST SALE,September-11-2015,Single Family Residential,4115 NW Tamarack,Corvallis,OR,97330,350000,3,2.0,Sunrise Common,1870,4792,1993,947,187,,Sold,,,http://www.redfin.com/OR/Corvallis/4115-NW-Tamarack-Dr-97330/home/25907804,WVMLS,694229,N,Y,44.5954229,-123.297102
