SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4135 NW Elmwood,Corvallis,OR,97330-1063,379500,4,2.0,Edgewood Park,1928,12197,2004,18,197,,Active,,,http://www.redfin.com/OR/Corvallis/4135-NW-Elmwood-Dr-97330/home/25916308,WVMLS,731152,N,Y,44.5903454,-123.2963791
MLS Listing,,Single Family Residential,3517 NW Circle,Corvallis,OR,97330,305000,2,1.0,Corvallis,1224,10454,1958,22,249,,Active,,,http://www.redfin.com/OR/Corvallis/3517-NW-Circle-Blvd-97330/home/25919274,WVMLS,731018,N,Y,44.5849664,-123.2897347
MLS Listing,,Single Family Residential,3980 NW Elmwood,Corvallis,OR,97330-1043,400000,3,3.0,Edgewood Park Est,1961,9583,1975,37,204,,Active,,,http://www.redfin.com/OR/Corvallis/3980-NW-Elmwood-Dr-97330/home/25914996,WVMLS,729037,N,Y,44.5894692,-123.2942451
MLS Listing,,Single Family Residential,2014 NW Myrtlewood,Corvallis,OR,97330,375000,3,2.0,Corvallis,1566,11326,1995,61,239,,Active,,,http://www.redfin.com/OR/Corvallis/2014-NW-Myrtlewood-Way-97330/home/25906735,WVMLS,729301,N,Y,44.587972,-123.296425
MLS Listing,,Single Family Residential,3060 NW Garfield,Corvallis,OR,97330-1858,377250,3,2.0,Corvallis,1664,7841,1983,212,227,,Active,,,http://www.redfin.com/OR/Corvallis/3060-NW-Garfield-Ave-97330/home/25929126,WVMLS,724272,N,Y,44.582883,-123.285244
PAST SALE,September-16-2016,Single Family Residential,918 NW 26th,Corvallis,OR,97330,230000,2,1.0,Corvallis,1075,5663,1959,576,214,,Sold,,,http://www.redfin.com/OR/Corvallis/918-NW-26th-St-97330/home/25930351,WVMLS,705735,N,Y,44.5765737,-123.2803277
PAST SALE,January-5-2018,Single Family Residential,2835 NW Greeley,Corvallis,OR,97330,354500,3,2.0,Glenmoor,1296,8276,1958,100,274,,Sold,,,http://www.redfin.com/OR/Corvallis/2835-NW-Greeley-Ave-97330/home/25894216,WVMLS,726826,N,Y,44.5797445,-123.2827369
PAST SALE,April-12-2018,Single Family Residential,2611 NW Ginseng,Corvallis,OR,97330,331000,3,2.0,Tamarack Village,1484,8712,1981,3,223,,Sold,,,http://www.redfin.com/OR/Corvallis/2611-NW-Ginseng-Pl-97330/home/25920557,WVMLS,729665,N,Y,44.5935401,-123.2974866
PAST SALE,March-2-2017,Single Family Residential,1554 NW 29th,Corvallis,OR,97330,285000,3,2.0,Corvallis,1536,12632,1955,409,186,,Sold,,,http://www.redfin.com/OR/Corvallis/1554-NW-29th-St-97330/home/25929252,WVMLS,712032,N,Y,44.58241,-123.2833597
PAST SALE,October-23-2017,Single Family Residential,4035 NW Dale,Corvallis,OR,97330,399000,5,3.0,Corvallis,2966,10890,1971,174,135,,Sold,,,http://www.redfin.com/OR/Corvallis/4035-NW-Dale-Pl-97330/home/25920631,WVMLS,717630,N,Y,44.579315,-123.296267
PAST SALE,October-12-2017,Single Family Residential,1011 NW Fernwood,Corvallis,OR,97330,369000,3,2.0,Corvallis,1548,10454,1974,185,238,,Sold,,,http://www.redfin.com/OR/Corvallis/1011-NW-Fernwood-Pl-97330/home/25918469,WVMLS,723562,N,Y,44.577339,-123.292366
PAST SALE,,Single Family Residential,1375 NW Dream Pl,Corvallis,OR,97330,100000,6,2.0,,3640,6970,2012,,27,,,,,http://www.redfin.com/OR/Corvallis/1375-NW-Dream-Pl-97330/home/25913413,,,N,Y,44.578787,-123.273736
PAST SALE,October-22-2015,Single Family Residential,1720 NW Woodland,Corvallis,OR,97370,300000,3,2.0,Corvallis,1698,11326,1971,906,177,,Sold,,,http://www.redfin.com/OR/Corvallis/1720-NW-Woodland-Dr-97330/home/25902645,WVMLS,697221,N,Y,44.5847766,-123.2967158
PAST SALE,March-22-2018,Single Family Residential,2045 NW Elder,Corvallis,OR,97330-3909,331000,3,2.0,Harman Sixth Addition,1196,7841,1967,24,277,,Sold,,,http://www.redfin.com/OR/Corvallis/2045-NW-Elder-St-97330/home/25920377,WVMLS,727905,N,Y,44.5882852,-123.2775286
PAST SALE,October-2-2017,Single Family Residential,4005 NW Elmwood,Corvallis,OR,97330,371350,3,2.0,Edgewood Park Estates,1704,10454,1971,195,218,,Sold,,,http://www.redfin.com/OR/Corvallis/4005-NW-Elmwood-Dr-97330/home/25903366,WVMLS,723533,N,Y,44.5902897,-123.2940242
PAST SALE,September-29-2017,Single Family Residential,1435 NW 29th St,Corvallis,OR,97330,377500,5,2.5,Benton County,2636,10890,1958,198,143,,Sold,,,http://www.redfin.com/OR/Corvallis/1435-NW-29th-St-97330/home/25902338,RMLS,17324027,N,Y,44.5811073,-123.282772
PAST SALE,October-6-2017,Single Family Residential,1615 NW 23rd,Corvallis,OR,97330,310000,3,1.0,Cloverland Village,1324,10890,1949,191,234,,Sold,,,http://www.redfin.com/OR/Corvallis/1615-NW-23rd-St-97330/home/25901944,WVMLS,723322,N,Y,44.5832889,-123.2773556
PAST SALE,September-29-2017,Single Family Residential,2825 NW Arnold,Corvallis,OR,97330-5205,299000,4,1.0,Arnold Heights,1748,4792,1922,198,171,,Sold,,,http://www.redfin.com/OR/Corvallis/2825-NW-Arnold-Way-97330/home/25918735,WVMLS,724166,N,Y,44.5715042,-123.2827228
PAST SALE,May-20-2015,Single Family Residential,2286 NW Kleinschmidt,Corvallis,OR,97330,354000,3,2.0,Walnut Park,2038,9583,1991,1061,174,,Sold,,,http://www.redfin.com/OR/Corvallis/2286-NW-Kleinschmidt-Pl-97330/home/25931558,WVMLS,685678,N,Y,44.590086,-123.3069571
PAST SALE,September-17-2015,Single Family Residential,1884 NW Sunview,Corvallis,OR,97330,345000,3,3.0,Sunview,2020,7841,1978,941,171,,Sold,,,http://www.redfin.com/OR/Corvallis/1884-NW-Sunview-Dr-97330/home/25919875,WVMLS,692989,N,Y,44.5872659,-123.2993542
PAST SALE,March-10-2016,Single Family Residential,1830 NW Circle,Corvallis,OR,97330,284000,3,2.0,Patterson,1520,8400,1959,766,187,,Sold,,,http://www.redfin.com/OR/Corvallis/1830-NW-Circle-Pl-97330/home/25924989,WVMLS,698515,N,Y,44.5854739,-123.2823999
PAST SALE,December-5-2017,Single Family Residential,646 NW 19th,Corvallis,OR,97330,187000,3,1.0,Corvallis,1653,5227,1906,131,113,,Sold,,,http://www.redfin.com/OR/Corvallis/646-NW-19th-St-97330/home/25894897,WVMLS,723811,N,Y,44.5740216,-123.2743117
PAST SALE,December-20-2017,Single Family Residential,2435 NW 29th,Corvallis,OR,97330-1247,270000,3,2.0,Kings View,1327,9148,1968,116,203,,Sold,,,http://www.redfin.com/OR/Corvallis/2435-NW-29th-St-97330/home/25899984,WVMLS,724946,N,Y,44.5919387,-123.2830271
PAST SALE,October-2-2017,Single Family Residential,2064 NW Lance,Corvallis,OR,97330,340000,3,3.0,Sunview,1680,11326,1977,195,202,,Sold,,,http://www.redfin.com/OR/Corvallis/2064-NW-Lance-Way-97330/home/25898064,WVMLS,722413,N,Y,44.5880292,-123.3018318
PAST SALE,August-25-2015,Single Family Residential,1380 NW Forest,Corvallis,OR,97330,343800,3,2.0,Sylvan Acres,2046,13068,1964,964,168,,Sold,,,http://www.redfin.com/OR/Corvallis/1380-NW-Forest-Dr-97330/home/25903237,WVMLS,692757,N,Y,44.58075,-123.291776
PAST SALE,December-27-2016,Single Family Residential,609 NW 32nd,Corvallis,OR,97330,348000,3,2.0,Corvallis,2124,5227,1948,474,164,,Sold,,,http://www.redfin.com/OR/Corvallis/609-NW-32nd-St-97330/home/25902854,WVMLS,713642,N,Y,44.5738671,-123.2866269
PAST SALE,July-7-2017,Single Family Residential,1135 NW 35th,Corvallis,OR,97330,315000,3,2.0,Corvallis,1256,5663,1965,282,251,,Sold,,,http://www.redfin.com/OR/Corvallis/1135-NW-35th-St-97330/home/25918746,WVMLS,719730,N,Y,44.578121,-123.289636
PAST SALE,July-7-2017,Single Family Residential,1222 NW Hillcrest,Corvallis,OR,97330-2310,350000,2,2.0,Portion Wells Addition,1076,9583,1978,282,325,,Sold,,,http://www.redfin.com/OR/Corvallis/1222-NW-Hillcrest-Dr-97330/home/25927934,WVMLS,719952,N,Y,44.5795089,-123.2862873
PAST SALE,April-20-2016,Single Family Residential,3660 NW Witham Hl,Corvallis,OR,97330,305000,3,3.0,Fernwood Hills,2488,13068,1967,725,123,,Sold,,,http://www.redfin.com/OR/Corvallis/3660-NW-Witham-Hill-Dr-97330/home/25919197,WVMLS,697767,N,Y,44.579356,-123.292741
PAST SALE,September-2-2015,Single Family Residential,1309 NW 27th,Corvallis,OR,97330,262500,4,2.0,Corvallis,1584,8712,1958,956,166,,Sold,,,http://www.redfin.com/OR/Corvallis/1309-NW-27th-St-97330/home/25899643,WVMLS,694410,N,Y,44.5796384,-123.2808407
PAST SALE,October-28-2015,Single Family Residential,945 NW Oakdell,Corvallis,OR,97330,398000,5,2.0,Westwood Park,2284,8276,1965,900,174,,Sold,,,http://www.redfin.com/OR/Corvallis/945-NW-Oakdell-Pl-97330/home/25897059,WVMLS,695353,N,Y,44.5767117,-123.2946847
PAST SALE,October-7-2016,Single Family Residential,2035 NW Arthur,Corvallis,OR,97330,200000,2,1.0,Corvallis,1088,3049,1978,555,184,,Sold,,,http://www.redfin.com/OR/Corvallis/2035-NW-Arthur-Pl-97330/home/25921954,WVMLS,711361,N,Y,44.58397,-123.274498
PAST SALE,May-31-2016,Single Family Residential,1045 NW 25th,Corvallis,OR,97330-4323,200000,2,2.0,Johnson's Addition,887,8276,1946,684,225,,Sold,,,http://www.redfin.com/OR/Corvallis/1045-NW-25th-St-97330/home/25913286,WVMLS,703364,N,Y,44.5778,-123.278996
PAST SALE,May-7-2015,Single Family Residential,1250 NW Hillcrest,Corvallis,OR,97330,347500,4,2.0,Corvallis,2213,11761,1930,1074,157,,Sold,,,http://www.redfin.com/OR/Corvallis/1250-NW-Hillcrest-Dr-97330/home/25902666,WVMLS,687547,N,Y,44.5798658,-123.2863699
