SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,587 Canberra,Philomath,OR,97370-9300,380000,4,3.0,Dykstra-Apex,2286,8276,1996,2,166,,Active,,,http://www.redfin.com/OR/Philomath/587-Canberra-Dr-97370/home/25900022,WVMLS,730926,N,Y,44.544428,-123.379544
MLS Listing,,Single Family Residential,5915 SW Philomath,Corvallis,OR,97333-1029,225000,4,2.0,Corvallis,1380,14810,1946,46,163,,Active,,,http://www.redfin.com/OR/Corvallis/5915-SW-Philomath-Blvd-97333/home/25900072,WVMLS,729355,N,Y,44.54909,-123.3187369
MLS Listing,,Single Family Residential,7020 SW Country Clb,Corvallis,OR,97333-2615,349900,5,2.0,Corvallis,3822,22216,1940,58,92,,Active,,,http://www.redfin.com/OR/Corvallis/7020-SW-Country-Club-Dr-97333/home/25895439,WVMLS,729463,N,Y,44.545249,-123.3311597
MLS Listing,,Single Family Residential,2100 West Hls,Philomath,OR,97370,398000,3,2.0,Philomath,2980,42689,1963,198,134,,Active,,,http://www.redfin.com/OR/Philomath/2100-West-Hls-97370/home/143941345,WVMLS,724906,N,Y,44.540121,-123.3676014
PAST SALE,,Single Family Residential,135 S 21st St,Philomath,OR,97370,242100,,,,,3049,,,,,,,,http://www.redfin.com/OR/Philomath/135-S-21st-St-97370/home/25898088,,,N,Y,44.5394962,-123.3555272
PAST SALE,September-28-2017,Single Family Residential,406 S 30th,Philomath,OR,97370,382900,4,3.0,Philomath,2838,15246,1980,199,135,,Sold,,,http://www.redfin.com/OR/Philomath/406-S-30th-St-97370/home/25896521,WVMLS,725912,N,Y,44.538251,-123.34091
PAST SALE,February-28-2017,Single Family Residential,300 Benton Vw,Philomath,OR,97370,334000,3,3.0,Southwood III,1925,10019,1995,411,174,,Sold,,,http://www.redfin.com/OR/Philomath/300-Benton-View-Dr-97370/home/25917863,WVMLS,713245,N,Y,44.537756,-123.33562
PAST SALE,September-7-2017,Single Family Residential,675 SW 55th,Corvallis,OR,97333,273000,3,1.0,West Hills Terrace,942,8276,1972,220,290,,Sold,,,http://www.redfin.com/OR/Corvallis/675-SW-55th-St-97333/home/25931253,WVMLS,721663,N,Y,44.5597424,-123.313864
PAST SALE,November-27-2017,Single Family Residential,635 McCall,Philomath,OR,97370,255000,3,2.0,Timber Estates,1276,7405,1997,139,200,,Sold,,,http://www.redfin.com/OR/Philomath/635-McCall-Way-97370/home/25924858,WVMLS,724249,N,Y,44.533534,-123.35752
PAST SALE,January-10-2018,Single Family Residential,330 N 13th St,Philomath,OR,97370,115000,2,2.0,Partition Plat 96-005,1359,7405,1901,95,85,,Sold,,,http://www.redfin.com/OR/Philomath/330-N-13th-St-97370/home/25921482,WVMLS,725511,N,Y,44.5429292,-123.3680536
PAST SALE,,Single Family Residential,783 Fawn Ln,Philomath,OR,97370,286422,3,3.5,,3335,29621,1996,,86,,,,,http://www.redfin.com/OR/Philomath/783-Fawn-Ln-97370/home/25908002,,,N,Y,44.545986,-123.375478
PAST SALE,,Single Family Residential,629 McCall Way,Philomath,OR,97370,254000,3,2.0,,1477,7405,1999,,172,,,,,http://www.redfin.com/OR/Philomath/629-McCall-Way-97370/home/25929042,,,N,Y,44.5337,-123.35752
PAST SALE,April-13-2016,Single Family Residential,1711 Bailey,Philomath,OR,97370,299900,3,2.0,west hills acres,2802,20909,1940,732,107,,Sold,,,http://www.redfin.com/OR/Philomath/1711-Bailey-St-97370/home/25729712,WVMLS,693155,N,Y,44.558662,-123.350693
PAST SALE,,Single Family Residential,2130 Main St,Philomath,OR,97370,256750,3,2.0,,1584,6970,1971,,162,,,,,http://www.redfin.com/OR/Philomath/2130-Main-St-97370/home/25904418,,,N,Y,44.5400289,-123.354973
PAST SALE,,Single Family Residential,478 Benton View Dr,Philomath,OR,97370,350000,4,2.0,,1940,17860,1971,,180,,,,,http://www.redfin.com/OR/Philomath/478-Benton-View-Dr-97370/home/25929488,,,N,Y,44.536857,-123.337878
PAST SALE,,Single Family Residential,524 N 12th St,Philomath,OR,97370,179000,4,2.0,,1600,5227,2011,,112,,,,,http://www.redfin.com/OR/Philomath/524-N-12th-St-97370/home/52417781,,,N,Y,44.5447226,-123.3696899
PAST SALE,,Single Family Residential,408 Mount Union Ave,Philomath,OR,97370,312000,3,2.0,,1782,10019,1994,,175,,,,,http://www.redfin.com/OR/Philomath/408-Mount-Union-Ave-97370/home/25917776,,,N,Y,44.53615,-123.334764
PAST SALE,November-20-2015,Single Family Residential,486 Benton Vw,Philomath,OR,97370,248000,2,2.0,Southwood Park,1676,18295,1992,877,148,,Sold,,,http://www.redfin.com/OR/Philomath/486-Benton-View-Dr-97370/home/25900083,WVMLS,698167,N,Y,44.537816,-123.336768
PAST SALE,June-16-2017,Single Family Residential,1234 College,Philomath,OR,97370-9421,65000,2,1.0,Philomath,836,4356,1920,303,78,,Sold,,,http://www.redfin.com/OR/Philomath/1234-College-St-97370/home/111310228,WVMLS,712603,N,Y,44.5410409,-123.3683576
PAST SALE,November-14-2016,Single Family Residential,24571 Old Peak,Philomath,OR,97370-8916,372500,3,1.0,Philomath College Farm,1528,181645,1951,517,244,,Sold,,,http://www.redfin.com/OR/Philomath/24571-Old-Peak-Rd-97370/home/25730339,WVMLS,704451,N,Y,44.5370563,-123.394592
