SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-21-2016,Single Family Residential,1909 NW Beca,Corvallis,OR,97330,279900,3,2.0,Tinkham Tracts Annex,1888,10019,1951,815,148,,Sold,,,http://www.redfin.com/OR/Corvallis/1909-NW-Beca-Ave-97330/home/25902916,WVMLS,697964,N,Y,44.5783871,-123.2734472
PAST SALE,June-22-2015,Single Family Residential,703 NW 4th,Corvallis,OR,97330,180000,3,3.0,Corvallis,1140,6098,1908,1028,158,,Sold,,,http://www.redfin.com/OR/Corvallis/703-NW-4th-St-97330/home/25903183,WVMLS,685634,N,Y,44.5704246,-123.2587903
PAST SALE,August-31-2017,Single Family Residential,445 NW 9th,Corvallis,OR,97330,305000,3,2.0,Rayburns,1913,6098,1939,227,159,,Sold,,,http://www.redfin.com/OR/Corvallis/445-NW-9th-St-97330/home/25903223,WVMLS,721139,N,Y,44.5696564,-123.2650756
PAST SALE,December-30-2016,Single Family Residential,1855 NW Tyler,Corvallis,OR,97330,233500,4,2.0,Corvallis,1562,2614,1938,471,149,,Sold,,,http://www.redfin.com/OR/Corvallis/1855-NW-Tyler-Ave-97330/home/25903273,WVMLS,708234,N,Y,44.5724385,-123.2744258
PAST SALE,August-23-2016,Single Family Residential,830 NW 11th St,Corvallis,OR,97330,373000,6,2.0,Benton County,2394,6534,1910,600,156,,Sold,,,http://www.redfin.com/OR/Corvallis/830-NW-11th-St-97330/home/25903896,RMLS,16254006,N,Y,44.5737771,-123.2660642
PAST SALE,June-30-2017,Single Family Residential,808 NW 11th,Corvallis,OR,97330-6075,257500,4,3.0,Jobs,2188,6970,1900,289,118,,Sold,,,http://www.redfin.com/OR/Corvallis/808-NW-11th-St-97330/home/25903891,WVMLS,719343,N,Y,44.5734628,-123.2662831
PAST SALE,December-21-2016,Single Family Residential,402 NW 10th,Corvallis,OR,97333,262500,4,1.0,Corvallis,1364,5663,1921,480,192,,Sold,,,http://www.redfin.com/OR/Corvallis/402-NW-10th-St-97330/home/25904198,WVMLS,713224,N,Y,44.5694204,-123.2671506
PAST SALE,May-13-2015,Single Family Residential,983 NW Ironwood,Corvallis,OR,97330,241000,3,2.0,Ironwood,1292,7841,1976,1068,187,,Sold,,,http://www.redfin.com/OR/Corvallis/983-NW-Ironwood-Ave-97330/home/25906450,WVMLS,688275,N,Y,44.5926714,-123.2603375
PAST SALE,,Single Family Residential,918 NW Oak Ave,Corvallis,OR,97330,339000,5,4.0,,2030,5663,1978,,167,,,,,http://www.redfin.com/OR/Corvallis/918-NW-Oak-Ave-97330/home/25907483,,,N,Y,44.5929331,-123.2604008
PAST SALE,,Single Family Residential,1936 NW Hayes Ave,Corvallis,OR,97330,250000,3,2.5,,1698,4792,1995,,147,,,,,http://www.redfin.com/OR/Corvallis/1936-NW-Hayes-Ave-97330/home/25908825,,,N,Y,44.5813434,-123.2746615
PAST SALE,June-15-2015,Single Family Residential,2345 NW 13th,Corvallis,OR,97330,220000,3,1.0,Corvallis,1035,9148,1966,1035,213,,Sold,,,http://www.redfin.com/OR/Corvallis/2345-NW-13th-St-97330/home/25900460,WVMLS,690655,N,Y,44.5917047,-123.2668585
PAST SALE,,Single Family Residential,337 NW 18th St,Corvallis,OR,97330,350000,2,1.0,,816,2614,2015,,429,,,,,http://www.redfin.com/OR/Corvallis/337-NW-18th-St-97330/home/25900708,,,N,Y,44.5708144,-123.2743102
PAST SALE,September-30-2016,Single Family Residential,992 NW Ironwood,Corvallis,OR,97330,263000,3,2.0,Corvallis,1238,8276,1976,562,212,,Sold,,,http://www.redfin.com/OR/Corvallis/992-NW-Ironwood-Ave-97330/home/25922775,WVMLS,714616,N,Y,44.5922561,-123.2609861
PAST SALE,May-16-2016,Single Family Residential,1145 NW 20th,Corvallis,OR,97330,269000,4,2.0,Corvallis,1635,8712,1959,699,165,,Sold,,,http://www.redfin.com/OR/Corvallis/1145-NW-20th-St-97330/home/25913132,WVMLS,706353,N,Y,44.577303,-123.2739184
PAST SALE,,Single Family Residential,1620 NW Kings Blvd,Corvallis,OR,97330,80585,2,1.0,,762,8276,1948,,106,,,,,http://www.redfin.com/OR/Corvallis/1620-NW-Kings-Blvd-97330/home/25913535,,,N,Y,44.5835099,-123.2763126
PAST SALE,June-23-2017,Single Family Residential,825 NE Lawndale,Corvallis,OR,97330,238900,3,2.0,Corvallis,1280,13068,1966,296,187,,Sold,,,http://www.redfin.com/OR/Corvallis/825-NW-Lawndale-Pl-97330/home/25913938,WVMLS,717962,N,Y,44.5900698,-123.2482968
