SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,875 SE Bayshore,Corvallis,OR,97333,349900,3,3.0,Willamette Landing,1819,5227,2005,4,192,,Active,,,http://www.redfin.com/OR/Corvallis/875-SE-Bayshore-Cir-97333/home/25899675,WVMLS,731773,N,Y,44.5281398,-123.2575955
MLS Listing,,Single Family Residential,2360 SW Leonard,Corvallis,OR,97333,215000,2,1.0,Corvallis,832,10890,1959,13,258,,Active,,,http://www.redfin.com/OR/Corvallis/2360-SW-Leonard-St-97333/home/25904987,WVMLS,731191,N,Y,44.5425816,-123.2702814
MLS Listing,,Single Family Residential,735 SW Wake Robin,Corvallis,OR,97333-1611,188999,3,1.0,Corvallis,1056,8276,1949,30,179,,Active,,,http://www.redfin.com/OR/Corvallis/735-SW-Wake-Robin-Ave-97333/home/25904684,WVMLS,729484,N,Y,44.538301,-123.273992
MLS Listing,,Single Family Residential,3189 SE Hathaway,Corvallis,OR,97333-9264,299900,3,2.0,Villa South,1532,6970,1992,68,196,,Active,,,http://www.redfin.com/OR/Corvallis/3189-SE-Hathaway-Dr-97333/home/25923073,WVMLS,729022,N,Y,44.5347368,-123.2629304
PAST SALE,March-3-2016,Single Family Residential,869 SE Bayshore,Corvallis,OR,97333,325000,3,3.0,Willamette Landing,1932,6534,2004,773,168,,Sold,,,http://www.redfin.com/OR/Corvallis/869-SE-Bayshore-Cir-97333/home/25926379,WVMLS,698808,N,Y,44.5283906,-123.257053
PAST SALE,November-27-2017,Single Family Residential,3411 SE Midvale,Corvallis,OR,97333-3195,272000,2,2.0,Corvallis,1304,2614,2004,139,209,,Sold,,,http://www.redfin.com/OR/Corvallis/3411-SE-Midvale-Dr-97333/home/25932475,WVMLS,724988,N,Y,44.530794,-123.256509
PAST SALE,March-8-2018,Single Family Residential,3238 SE Shoreline,Corvallis,OR,97333-3231,391500,3,3.0,Williamette Landing #5,1998,4356,2006,38,196,,Sold,,,http://www.redfin.com/OR/Corvallis/3238-SE-Shoreline-Dr-97333/home/25920118,WVMLS,728549,N,Y,44.5325341,-123.2549963
PAST SALE,July-21-2017,Single Family Residential,3269 SE Summerfield,Corvallis,OR,97333,335000,4,2.0,Rivergreen Estates 3rd,1676,6098,2002,268,200,,Sold,,,http://www.redfin.com/OR/Corvallis/3269-SE-Summerfield-Dr-97333/home/25933214,WVMLS,719376,N,Y,44.5333488,-123.2602686
PAST SALE,June-2-2016,Single Family Residential,1130 SE Rivergreen Ave,Corvallis,OR,97333,370000,3,2.5,Benton County,2411,4356,2006,682,153,,Sold,,,http://www.redfin.com/OR/Corvallis/1130-SE-Rivergreen-Ave-97333/home/25932194,RMLS,16523605,N,Y,44.530163,-123.257141
PAST SALE,October-17-2016,Single Family Residential,1263 SE Centerpointe,Corvallis,OR,97333,348000,4,3.0,Willamette Landing #2,2105,5663,2003,545,165,,Sold,,,http://www.redfin.com/OR/Corvallis/1263-SE-Centerpointe-Dr-97333/home/25922769,WVMLS,707553,N,Y,44.5314369,-123.254777
