SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,29592 NE Weslinn Dr,Corvallis,OR,97333,255000,3,2.0,,1452,20909,1968,,176,,,,,http://www.redfin.com/OR/Corvallis/29592-NE-Weslinn-Dr-97333/home/26165815,,,N,Y,44.567856,-123.203384
PAST SALE,,Single Family Residential,29555 Oregon 34,Corvallis,OR,97333,380000,4,1.0,,2080,100188,1900,,183,,,,,http://www.redfin.com/OR/Corvallis/29555-Oregon-34-97333/home/26140892,,,N,Y,44.5648246,-123.2042319
PAST SALE,,Single Family Residential,33081 Peoria Rd,Corvallis,OR,97333,200000,3,1.0,,2004,108900,1948,,100,,,,,http://www.redfin.com/OR/Corvallis/33081-Peoria-Rd-97333/home/26170227,,,N,Y,44.5419018,-123.206518
PAST SALE,May-31-2017,Single Family Residential,29020 Highway 34,Corvallis,OR,97333,347500,5,3.0,Corvallis,2210,67954,1965,319,157,,Sold,,,http://www.redfin.com/OR/Corvallis/29020-Oregon-34-97333/home/26171597,WVMLS,719236,N,Y,44.5633526,-123.2234412
PAST SALE,February-10-2017,Single Family Residential,33721 SE Terra,Corvallis,OR,97333-2306,280000,3,2.0,East Terra,1636,22216,1972,429,171,,Sold,,,http://www.redfin.com/OR/Corvallis/33721-SE-Terra-Cir-97333/home/26144909,WVMLS,712646,N,Y,44.561914,-123.220218
PAST SALE,June-15-2016,Single Family Residential,29209 Highway 34,Corvallis,OR,97333,215000,5,3.0,Corvallis,2488,94525,1958,669,86,,Sold,,,http://www.redfin.com/OR/Corvallis/29209-Oregon-34-97333/home/26167061,WVMLS,704818,N,Y,44.566122,-123.222534
PAST SALE,November-20-2015,Single Family Residential,33180 SE Primrose,Corvallis,OR,97333,222100,3,1.0,Corvallis,1458,60113,1963,877,152,,Sold,,,http://www.redfin.com/OR/Corvallis/33180-SE-Primrose-Rd-97333/home/26194262,WVMLS,691502,N,Y,44.544247,-123.201221
PAST SALE,,Single Family Residential,29801 SE Meadow Lark Dr,Corvallis,OR,97333,375000,3,2.0,,1370,51836,1973,,274,,,,,http://www.redfin.com/OR/Corvallis/29801-SE-Meadow-Lark-Dr-97333/home/26146350,,,N,Y,44.546492,-123.194836
PAST SALE,June-5-2017,Single Family Residential,33765 SE Peoria,Corvallis,OR,97333,242000,4,2.0,Corvallis,1856,45302,1900,314,130,,Sold,,,http://www.redfin.com/OR/Corvallis/33765-Peoria-Rd-SW-97333/home/26243618,WVMLS,714478,N,Y,44.5597399,-123.233214
PAST SALE,September-23-2015,Single Family Residential,34236 NE Colorado Lk,Corvallis,OR,97333,365000,3,3.0,Corvallis,1976,92783,1976,935,185,,Sold,,,http://www.redfin.com/OR/Corvallis/34236-NE-Colorado-Lake-Dr-97333/home/26130697,WVMLS,693917,N,Y,44.572384,-123.214625
PAST SALE,May-22-2015,Single Family Residential,33740 SE Terra,Corvallis,OR,97333,295000,4,2.0,East Terra,2128,81022,1965,1059,139,,Sold,,,http://www.redfin.com/OR/Corvallis/33740-SE-Terra-Ln-97333/home/26211279,WVMLS,686881,N,Y,44.559088,-123.220742
PAST SALE,September-18-2015,Single Family Residential,33792 SE Melody,Corvallis,OR,97333,320000,3,3.0,Corvallis,2211,46609,1961,940,145,,Sold,,,http://www.redfin.com/OR/Corvallis/33792-SE-Melody-Ln-97333/home/26184507,WVMLS,693807,N,Y,44.560425,-123.215912
PAST SALE,April-19-2016,Single Family Residential,29624 NE Weslinn,Corvallis,OR,97333,290000,3,2.0,Corvallis,1544,1544,1968,726,188,,Sold,,,http://www.redfin.com/OR/Corvallis/29624-NE-Weslinn-Dr-97333/home/26201966,WVMLS,699295,N,Y,44.567863,-123.202185
PAST SALE,,Single Family Residential,29506 NE Weslinn Dr,Corvallis,OR,97333,305000,3,2.0,,1219,20909,1968,,250,,,,,http://www.redfin.com/OR/Corvallis/29506-NE-Weslinn-Dr-97333/home/26130649,,,N,Y,44.567851,-123.206575
PAST SALE,,Single Family Residential,,Corvallis,OR,97333,180000,,,,,55321,2001,,,,,,,http://www.redfin.com/OR/Corvallis/Unknown-97333/home/26123692,,,N,Y,44.563298,-123.223385
PAST SALE,September-5-2017,Single Family Residential,34075 NE Sunrise,Corvallis,OR,97333,392000,5,5.0,Corvallis,2930,84071,1969,222,134,,Sold,,,http://www.redfin.com/OR/Corvallis/34075-NE-Sunrise-St-97333/home/26125598,WVMLS,720475,N,Y,44.5686461,-123.2014439
PAST SALE,October-25-2017,Single Family Residential,33975 NE Owl,Corvallis,OR,97333-2246,200000,3,2.0,Corvallis,1008,23087,1964,172,198,,Sold,,,http://www.redfin.com/OR/Corvallis/33975-NE-Owl-Pl-97333/home/26167057,WVMLS,722665,N,Y,44.5655051,-123.2253531
PAST SALE,,Single Family Residential,29572 NE Weslinn Dr,Corvallis,OR,97333,360000,4,2.0,,1878,20909,1963,,192,,,,,http://www.redfin.com/OR/Corvallis/29572-NE-Weslinn-Dr-97333/home/26203150,,,N,Y,44.5678539,-123.204182
PAST SALE,September-29-2016,Single Family Residential,29549 NE Pheasant,Corvallis,OR,97333,345000,3,2.0,Weslinn Estates,1566,23901,1968,563,220,,Sold,,,http://www.redfin.com/OR/Corvallis/29549-NE-Pheasant-Ave-97333/home/26167027,WVMLS,705680,N,Y,44.569842,-123.205014
PAST SALE,June-14-2016,Single Family Residential,29529 NW Pheasant,Corvallis,OR,97333,310000,4,2.0,Corvallis,1814,23920,1968,670,171,,Sold,,,http://www.redfin.com/OR/Corvallis/29529-NE-Pheasant-Ave-97333/home/26167032,WVMLS,711037,N,Y,44.5698409,-123.205812
PAST SALE,June-23-2015,Single Family Residential,29516 NE Weslinn,Corvallis,OR,97333,290000,3,2.0,Weslinn Estates 1,1524,20909,1967,1027,190,,Sold,,,http://www.redfin.com/OR/Corvallis/29516-NE-Weslinn-Dr-97333/home/26130648,WVMLS,689573,N,Y,44.567851,-123.206176
PAST SALE,August-10-2015,Single Family Residential,33750 SE Terra,Corvallis,OR,97333,331000,3,3.0,Corvallis,2302,23958,1973,979,144,,Sold,,,http://www.redfin.com/OR/Corvallis/33750-SE-Terra-Cir-97333/home/26144908,WVMLS,687971,N,Y,44.56154,-123.221375
PAST SALE,April-12-2016,Single Family Residential,33743 SE Terra,Corvallis,OR,97333,255000,3,2.0,E Terra,1345,29185,1974,733,190,,Sold,,,http://www.redfin.com/OR/Corvallis/33743-SE-Terra-Cir-97333/home/26144922,WVMLS,697381,N,Y,44.5623,-123.222085
PAST SALE,August-26-2016,Single Family Residential,33810 SE Terra,Corvallis,OR,97333,331000,3,2.0,East Terra,1715,29799,1967,597,193,,Sold,,,http://www.redfin.com/OR/Corvallis/33810-SE-Terra-Cir-97333/home/26144915,WVMLS,704436,N,Y,44.560014,-123.220433
PAST SALE,,Single Family Residential,33732 White Oak Rd,Corvallis,OR,97333,300000,2,1.0,,1080,152024,1957,,278,,,,,http://www.redfin.com/OR/Corvallis/33732-White-Oak-Rd-97333/home/26235929,,,N,Y,44.559657,-123.2052505
PAST SALE,,Single Family Residential,32732 Peoria Rd SW,Albany,OR,97321,290000,3,2.0,,1344,42689,1961,,216,,,,,http://www.redfin.com/OR/Albany/32732-Peoria-Rd-SW-97321/home/26241931,,,N,Y,44.53207,-123.203937
PAST SALE,July-10-2015,Single Family Residential,29697 SE Shady Oak,Corvallis,OR,97333,349500,4,2.0,Corvallis,1648,47916,1972,1010,212,,Sold,,,http://www.redfin.com/OR/Corvallis/29697-SE-Shady-Oak-Dr-97333/home/26146347,WVMLS,697522,N,Y,44.544091,-123.19799
PAST SALE,,Single Family Residential,33765 White Oak Rd,Corvallis,OR,97333,375000,3,2.0,,1696,124582,1956,,221,,,,,http://www.redfin.com/OR/Corvallis/33765-White-Oak-Rd-97333/home/26175817,,,N,Y,44.5602779,-123.201921
PAST SALE,July-17-2015,Single Family Residential,34046 Orleans SW,Albany,OR,97321,209000,,3.0,Albany,3008,57063,1994,1003,69,,Sold,,,http://www.redfin.com/OR/Albany/34046-Orleans-Rd-SW-97321/home/26122646,WVMLS,668316,N,Y,44.56793,-123.190934
PAST SALE,,Single Family Residential,34363 NE Colorado Lake Dr,Corvallis,OR,97333,76250,2,1.0,,746,68389,1930,,102,,,,,http://www.redfin.com/OR/Corvallis/34363-NE-Colorado-Lake-Dr-97333/home/26151481,,,N,Y,44.576257,-123.214944
PAST SALE,August-30-2017,Single Family Residential,29479 NE Pheasant,Corvallis,OR,97333,395500,4,2.0,Westlinn Estates,2181,23958,1968,228,181,,Sold,,,http://www.redfin.com/OR/Corvallis/29479-NE-Pheasant-Ave-97333/home/26167025,WVMLS,719232,N,Y,44.569838,-123.207806
