SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-9-2018,Single Family Residential,120 N 10th,Philomath,OR,97370-9084,239780,3,3.0,Philomath,1606,11326,1900,26,149,,Sold,,,http://www.redfin.com/OR/Philomath/120-N-10th-St-97370/home/25905424,WVMLS,729679,N,Y,44.5406356,-123.3726871
PAST SALE,April-12-2018,Single Family Residential,1706 College,Philomath,OR,97370,75500,2,1.0,Philomath,840,5663,1907,23,90,,Sold,,,http://www.redfin.com/OR/Philomath/1706-College-St-97370/home/145277767,WVMLS,731493,N,Y,44.5408685,-123.3615471
PAST SALE,,Single Family Residential,1010 NW 25th St,Corvallis,OR,97330,320000,3,1.0,,1559,10890,1947,,205,,,,,http://www.redfin.com/OR/Corvallis/1010-NW-25th-St-97330/home/25902579,,,N,Y,44.5773128,-123.2793685
PAST SALE,April-12-2018,Single Family Residential,2611 NW Ginseng,Corvallis,OR,97330,331000,3,2.0,Tamarack Village,1484,8712,1981,23,223,,Sold,,,http://www.redfin.com/OR/Corvallis/2611-NW-Ginseng-Pl-97330/home/25920557,WVMLS,729665,N,Y,44.5935401,-123.2974866
PAST SALE,April-17-2018,Single Family Residential,5370 NW Lawrence,Corvallis,OR,97330,299000,4,2.0,Corvallis,2738,79715,1965,18,109,,Sold,,,http://www.redfin.com/OR/Corvallis/5370-NW-Lawrence-Ave-97330/home/25894386,WVMLS,726407,N,Y,44.6019361,-123.3132963
PAST SALE,April-13-2018,Single Family Residential,138 S 12th,Philomath,OR,97370,210000,1,2.0,Philomath,3000,8276,1920,22,70,,Sold,,,http://www.redfin.com/OR/Philomath/138-S-12th-St-97370/home/141880232,WVMLS,721068,N,Y,44.5393536,-123.36937
PAST SALE,April-17-2018,Single Family Residential,3007 Maplewood,Philomath,OR,97370,324500,3,3.0,Neabeack Hill,1963,11761,1999,18,165,,Sold,,,http://www.redfin.com/OR/Philomath/3007-Maplewood-Ct-97370/home/25910199,WVMLS,731227,N,Y,44.53998,-123.339336
PAST SALE,,Single Family Residential,616 NW 12th St,Corvallis,OR,97330,241001,3,1.0,,1102,4792,1918,,219,,,,,http://www.redfin.com/OR/Corvallis/616-NW-12th-St-97330/home/25929502,,,N,Y,44.5719446,-123.2680783
PAST SALE,April-12-2018,Single Family Residential,335 NW 16th,Corvallis,OR,97330,345000,5,2.0,Wilkins,1455,5227,1926,23,237,,Sold,,,http://www.redfin.com/OR/Corvallis/335-NW-16th-St-97330/home/25903371,WVMLS,729630,N,Y,44.570316,-123.2725974
PAST SALE,,Single Family Residential,641 NW Maxine Ave,Corvallis,OR,97330,180000,3,1.5,,1222,8712,1973,,147,,,,,http://www.redfin.com/OR/Corvallis/641-NW-Maxine-Ave-97330/home/25916380,,,N,Y,44.598023,-123.2558511
