SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-21-2017,Single Family Residential,5520 NW Shasta Ave,Corvallis,OR,97330,230000,3,1.0,Benton County,1384,43560,1920,145,166,,Sold,,,http://www.redfin.com/OR/Corvallis/5520-NW-Shasta-Ave-97330/home/25926037,RMLS,17249654,N,Y,44.627356,-123.250048
PAST SALE,August-4-2016,Single Family Residential,231 NE Plymouth,Corvallis,OR,97330,230000,3,1.0,Village Green,960,13939,1964,619,240,,Sold,,,http://www.redfin.com/OR/Corvallis/231-NE-Plymouth-Cir-97330/home/25901206,WVMLS,705786,N,Y,44.5988208,-123.2439184
PAST SALE,January-12-2018,Single Family Residential,789 NW Deer,Corvallis,OR,97330,315000,3,2.0,Corvallis,1245,8712,1977,93,253,,Sold,,,http://www.redfin.com/OR/Corvallis/789-NW-Deer-Pl-97330/home/25893987,WVMLS,726601,N,Y,44.5992322,-123.2591916
PAST SALE,September-18-2017,Single Family Residential,3111 NE Powderhorn,Corvallis,OR,97330,175000,2,2.0,Creedmore,1204,1742,1980,209,145,,Sold,,,http://www.redfin.com/OR/Corvallis/3111-Powderhorn-Pl-97330/home/25899628,WVMLS,714340,N,Y,44.599589,-123.245782
PAST SALE,,Single Family Residential,1025 NW Lewisburg Ave,Corvallis,OR,97330,60000,1,1.0,,870,10454,1940,,69,,,,,http://www.redfin.com/OR/Corvallis/1025-NW-Lewisburg-Ave-97330/home/25894136,,,N,Y,44.6289779,-123.262177
PAST SALE,December-6-2016,Single Family Residential,1008 NE Diane,Corvallis,OR,97330,297500,3,2.0,Conifer Village,1541,7841,1992,495,193,,Sold,,,http://www.redfin.com/OR/Corvallis/1008-NE-Diane-Pl-97330/home/25896191,WVMLS,710176,N,Y,44.5952234,-123.2368871
PAST SALE,December-20-2017,Single Family Residential,1830 NE Noble,Corvallis,OR,97330-4221,282000,3,2.0,Searle Addition,1386,16117,1971,116,203,,Sold,,,http://www.redfin.com/OR/Corvallis/1830-NE-Noble-Ave-97330/home/25933397,WVMLS,724432,N,Y,44.592797,-123.23132
PAST SALE,August-28-2015,Single Family Residential,1032 NE Diane,Corvallis,OR,97330,337500,4,3.0,Corvallis,2806,8276,1992,961,120,,Sold,,,http://www.redfin.com/OR/Corvallis/1032-NE-Diane-Pl-97330/home/25896193,WVMLS,692755,N,Y,44.5951802,-123.2359439
PAST SALE,October-7-2016,Single Family Residential,5460 NW Shasta,Corvallis,OR,97330,246551,2,1.0,Corvallis,1199,43560,1963,555,206,,Sold,,,http://www.redfin.com/OR/Corvallis/5460-NW-Shasta-Ave-97330/home/25894171,WVMLS,708423,N,Y,44.626975,-123.25005
PAST SALE,,Single Family Residential,2819 NE Conser St,Corvallis,OR,97330,250000,3,2.0,,1682,7841,1992,,149,,,,,http://www.redfin.com/OR/Corvallis/2819-NE-Conser-St-97330/home/25908846,,,N,Y,44.5958804,-123.2364857
PAST SALE,March-30-2016,Single Family Residential,2750 NW Stewart,Corvallis,OR,97330-3834,211500,3,2.0,Woodrow Wilson,1281,8712,1965,746,165,,Sold,,,http://www.redfin.com/OR/Corvallis/2750-NW-Stewart-St-97330/home/25894187,WVMLS,703383,N,Y,44.5955054,-123.2551449
PAST SALE,April-27-2015,Single Family Residential,3040 NW Autumn,Corvallis,OR,97330,299900,3,3.0,Rodgers Hill Addition,1923,11326,1971,1084,156,,Sold,,,http://www.redfin.com/OR/Corvallis/3040-NW-Autumn-St-97330/home/25921461,WVMLS,687650,N,Y,44.5983744,-123.2523126
PAST SALE,August-10-2016,Single Family Residential,470 NW Lewisburg,Corvallis,OR,97330,210000,3,2.0,Corvallis,1243,17424,1947,613,169,,Sold,,,http://www.redfin.com/OR/Corvallis/470-NW-Lewisburg-Ave-97330/home/25928013,WVMLS,702488,N,Y,44.628752,-123.250296
PAST SALE,August-26-2015,Single Family Residential,4835 NW Barbara,Corvallis,OR,97330,293000,3,2.0,Jackson Creek,1564,10019,1976,963,187,,Sold,,,http://www.redfin.com/OR/Corvallis/4835-NW-Barbara-St-97330/home/25906325,WVMLS,695338,N,Y,44.619369,-123.257488
PAST SALE,May-5-2016,Single Family Residential,1845 NE Seavy,Corvallis,OR,97330,313000,4,2.0,Corvallis,2289,45302,1946,710,137,,Sold,,,http://www.redfin.com/OR/Corvallis/1845-NE-Seavy-Ave-97330/home/25917646,WVMLS,701117,N,Y,44.592079,-123.231774
PAST SALE,April-25-2016,Single Family Residential,2710 NW Bryant,Corvallis,OR,97330,360000,4,3.0,Woodrow Wilson,2668,8172,1963,720,135,,Sold,,,http://www.redfin.com/OR/Corvallis/2710-NW-Bryant-St-97330/home/25917590,WVMLS,701761,N,Y,44.595057,-123.254083
PAST SALE,August-5-2016,Single Family Residential,5545 NW Shasta,Corvallis,OR,97330-9275,225000,2,1.0,Corvallis,1056,47480,1975,618,213,,Sold,,,http://www.redfin.com/OR/Corvallis/5545-NW-Shasta-Ave-97330/home/25914798,WVMLS,708338,N,Y,44.627625,-123.248595
PAST SALE,July-19-2016,Single Family Residential,810 NW Sundance,Corvallis,OR,97330,262000,2,3.0,Corvallis,1524,3485,1994,635,172,,Sold,,,http://www.redfin.com/OR/Corvallis/810-NW-Sundance-Cir-97330/home/25916675,WVMLS,708615,N,Y,44.596247,-123.258893
PAST SALE,November-23-2016,Single Family Residential,1226 NW Walnut,Corvallis,OR,97330,270000,3,3.0,Carter Rawie 2nd,1584,9583,1993,508,170,,Sold,,,http://www.redfin.com/OR/Corvallis/1226-NW-Walnut-Blvd-97330/home/25916078,WVMLS,709359,N,Y,44.593535,-123.265962
PAST SALE,March-11-2016,Single Family Residential,755 NW Conifer,Corvallis,OR,97330-3708,284900,3,3.0,Ball Banks,2008,10454,1967,765,142,,Sold,,,http://www.redfin.com/OR/Corvallis/755-NW-Conifer-Blvd-97330/home/25894390,WVMLS,697486,N,Y,44.597029,-123.2582661
PAST SALE,June-24-2015,Single Family Residential,3434 NW Maxine,Corvallis,OR,97330,305000,3,3.0,Corvallis,1776,8712,1976,1026,172,,Sold,,,http://www.redfin.com/OR/Corvallis/3434-NW-Maxine-Cir-97330/home/25900307,WVMLS,686411,N,Y,44.600716,-123.259903
PAST SALE,September-18-2015,Single Family Residential,742 NW Beaver,Corvallis,OR,97330,267525,3,2.0,Corvallis,1352,12197,1976,940,198,,Sold,,,http://www.redfin.com/OR/Corvallis/742-NW-Beaver-Pl-97330/home/25906724,WVMLS,694116,N,Y,44.5982915,-123.2582382
PAST SALE,December-30-2015,Single Family Residential,1236 NW Walnut,Corvallis,OR,97330,216000,3,1.0,Carter-Rawie Second Add.,912,9583,1970,837,237,,Sold,,,http://www.redfin.com/OR/Corvallis/1236-NW-Walnut-Blvd-97330/home/25922702,WVMLS,694318,N,Y,44.5935271,-123.2662325
PAST SALE,December-15-2017,Single Family Residential,2941 NW Bryant,Corvallis,OR,97330,320000,4,2.0,Jay Harman Addn,1320,10019,1974,121,242,,Sold,,,http://www.redfin.com/OR/Corvallis/2941-NW-Bryant-St-97330/home/25901311,WVMLS,725685,N,Y,44.5972543,-123.2535097
PAST SALE,April-28-2015,Single Family Residential,2630 NE Seavy,Corvallis,OR,97330,201000,2,1.0,Willamettedale Farm,890,6098,1942,1083,226,,Sold,,,http://www.redfin.com/OR/Corvallis/2630-NE-Seavy-Pl-97330/home/25927132,WVMLS,683260,N,Y,44.592372,-123.232161
PAST SALE,,Townhouse,3141 NE Flintlock Pl,Corvallis,OR,97330,190000,3,2.0,,1466,3485,1983,,130,,,,,http://www.redfin.com/OR/Corvallis/3141-NE-Flintlock-Pl-97330/home/25913847,,,N,Y,44.6001438,-123.246601
PAST SALE,July-17-2015,Single Family Residential,940 NW Meadow Vw,Corvallis,OR,97330,283103,3,2.0,Mountain View Acres,1718,16553,1965,1003,165,,Sold,,,http://www.redfin.com/OR/Corvallis/940-NW-Meadow-View-Dr-97330/home/25894113,WVMLS,689457,N,Y,44.6334609,-123.260417
PAST SALE,April-28-2016,Single Family Residential,755 NW Sundance,Corvallis,OR,97330,250000,2,2.0,Corvallis,1312,3485,1996,717,191,,Sold,,,http://www.redfin.com/OR/Corvallis/755-NW-Sundance-Cir-97330/home/25932374,WVMLS,702063,N,Y,44.595699,-123.259064
PAST SALE,June-30-2017,Single Family Residential,975 NW Conifer,Corvallis,OR,97330,310000,3,2.0,Corvallis,1796,12197,1968,289,173,,Sold,,,http://www.redfin.com/OR/Corvallis/975-NW-Conifer-Blvd-97330/home/25918744,WVMLS,717055,N,Y,44.5969878,-123.2617217
PAST SALE,June-30-2017,Single Family Residential,3350 NE Canterbury,Corvallis,OR,97330,255500,3,1.0,Village Green 1st,1426,10019,1970,289,179,,Sold,,,http://www.redfin.com/OR/Corvallis/3350-NE-Canterbury-Cir-97330/home/25932511,WVMLS,718174,N,Y,44.6019591,-123.2398944
PAST SALE,December-30-2015,Single Family Residential,3545 NE Canterbury,Corvallis,OR,97330-4007,245000,3,2.0,Village Green 1st,1172,10019,1972,837,209,,Sold,,,http://www.redfin.com/OR/Corvallis/3545-NE-Canterbury-Cir-97330/home/25919280,WVMLS,697631,N,Y,44.603042,-123.236332
PAST SALE,April-6-2018,Single Family Residential,3580 NE Canterbury,Corvallis,OR,97330-4008,275000,3,1.0,Village Green 1st,936,10019,1971,9,294,,Sold,,,http://www.redfin.com/OR/Corvallis/3580-NE-Canterbury-Cir-97330/home/25918861,WVMLS,729026,N,Y,44.603543,-123.235256
PAST SALE,,Single Family Residential,1013 NW Charlemagne Pl,Corvallis,OR,97330,180000,2,1.5,,1093,1742,1981,,165,,,,,http://www.redfin.com/OR/Corvallis/1013-NW-Charlemagne-Pl-97330/home/25927369,,,N,Y,44.597572,-123.263398
